id,financial_report_id/id,sequence,parent_id/id,code,level,name,groupby,domain,formulas,special_date_changer,green_on_positive,show_domain,figure_type,hide_if_zero,action_id/id
6100000,,1,6000000,A6100000,1,6100000 GASTOS OPERATIVOS,account_id,,balance = A6110000.balance + A6120000.balance + A6130000.balance + A6140000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6110000,,1,6100000,A6110000,2,6110000 GASTOS ADMINISTRATIVOS,account_id,,balance = A6110100.balance + A6110300.balance + A6110400.balance + A6110600.balance + A6110700.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6110100,,1,6110000,A6110100,3,6110100 GASTOS DE PERSONAL,account_id,"[('account_id','ilike','61101%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6110300,,2,6110000,A6110300,3,6110300 GASTOS DE INFRAESTRUCTURA,account_id,"[('account_id','ilike','61103%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6110400,,3,6110000,A6110400,3,6110400 SERVICIOS PROFESIONALES,account_id,"[('account_id','ilike','61104%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6110600,,4,6110000,A6110600,3,6110600 GASTOS DE VIAJE Y REPRESENTACION,account_id,"[('account_id','ilike','61106%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6110700,,5,6110000,A6110700,3,6110700 GASTOS IMPOSITIVO,account_id,"[('account_id','ilike','61107%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6120000,,2,6100000,A6120000,2,6120000 GASTOS DE COMERCIALIZACION,account_id,,balance = A6120100.balance + A6120200.balance + A6120300.balance + A6120400.balance + A6120500.balance + A6120600.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6120100,,6,6120000,A6120100,3,6120100 GASTOS DE PERSONAL,account_id,"[('account_id','ilike','61201%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6120200,,7,6120000,A6120200,3,6120200 GASTOS PRE ENTREGA Y POST ENTREGA,account_id,"[('account_id','ilike','61202%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6120300,,8,6120000,A6120300,3,6120300 GASTOS DE INFRAESTRUCTURA,account_id,"[('account_id','ilike','61203%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6120400,,9,6120000,A6120400,3,6120400 SERVICIOS PROFESIONALES,account_id,"[('account_id','ilike','61204%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6120500,,10,6120000,A6120500,3,6120500 GASTOS DE PUBLICIDAD,account_id,"[('account_id','ilike','61205%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6120600,,11,6120000,A6120600,3,6120600 GASTOS DE VIAJE Y REPRESENTACION,account_id,"[('account_id','ilike','61206%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6130000,,3,6100000,A6130000,2,6130000 GASTOS FINANCIEROS,account_id,,balance = A6130100.balance + A6130200.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6130100,,12,6130000,A6130100,3,6130100 INTERESES FINANCIEROS,account_id,"[('account_id','ilike','61301%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6130200,,13,6130000,A6130200,3,6130200 OTROS GASTOS FINANCIEROS,account_id,"[('account_id','ilike','61302%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6140000,,4,6100000,A6140000,2,6140000 OTROS GASTOS,account_id,,balance = A6140100.balance + A6140200.balance + A6140300.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6140100,,14,6140000,A6140100,3,6140100 GASTOS FISCALES,account_id,"[('account_id','ilike','61401%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6140200,,15,6140000,A6140200,3,6140200 GASTOS MUNICIPALES,account_id,"[('account_id','ilike','61402%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6140300,,16,6140000,A6140300,3,6140300 GASTOS GESTIONES ANTERIORES,account_id,"[('account_id','ilike','61403%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
